대여소 번호,공원유무,유동인구,조사지점거리,지하철거리,대여소 이름
1440,0,6660,269.0745784,0.762,하나은행 면목지점
1336,0,22305,269.2417116,0.326,성북3교 위
1346,1,3243,270.3343723,0.737,길음8골어린이공원 옆
3504,0,25311,270.6058339,0.57,원일교회
1560,0,10911,270.6275333,0.645,도봉세무서 앞
3422,0,24594,271.1405208,0.547,성균관대 정문
3418,0,14436,272.533131,0.016,창신역2번 출구
1458,0,10923,274.9590811,0.22,상봉터미널2
1459,0,10923,274.9590811,0.35,용마한신아파트사거리
2917,0,1101,275.4952235,1.598,신창중학교 후문 맞은편 버스정류장
606,0,20064,276.0829074,1.952,휘경공고앞
1368,0,183168,276.1474627,0.399,성신여대입구 교차로
3561,0,46134,277.7951747,0.208,행당동 삼부APT후문
1397,0,12828,278.3026498,0.708,래미안월곡아파트 (창문여고 건너편)
1721,0,16617,278.5694039,0.024,창동역 2번출구
386,0,18669,278.6122769,0.768,올림픽기념 국민생활관 앞
356,0,33354,278.8830923,0.479,KT혜화지사 앞
3577,0,10890,279.8651456,1.011,신자초교 입구 교차로(SC제일은행)
434,0,3528,279.9711899,0.675,신당 래미안 버스정류장
3525,0,28719,281.2691729,0.934,금호스포츠센터앞
1456,0,12039,281.4842506,1.071,상아빌딩(우림시장 교차로)
1323,0,16626,281.7528475,0.17,월곡역 입구 육교 밑
617,0,10035,281.978842,1.191,청솔우성아파트 앞
1373,0,16626,282.2331512,0.215,성북구보건소 건너편
1478,0,44064,282.3761985,0.155,홈플러스 상봉점 앞
1320,0,14874,284.3586984,0.963,LG베스트샵 종암점
300,0,73605,286.1671913,0.282,정동사거리
1334,0,6960,287.2429785,0.405,석관동주민센터 앞
355,0,33354,287.3263403,0.508,서울사대부속초교 앞
560,0,24042,287.6080084,0.891,비전교회 앞
1705,0,10401,289.4355885,0.284,도봉구청 정문앞
3503,0,11835,290.8973526,0.724,광진유진스웰
600,0,8163,291.1354136,0.834,휘경2동 주민센터
1754,0,9450,291.2744973,0.161, 창동시장입구 사거리
574,0,26979,291.3515616,0.02,아차산역4번출구
608,0,21675,291.5940004,0.931,전농삼성아파트
1703,0,1578,292.0870064,0.146,도봉산광역환승센터앞
1443,0,12039,292.2514509,0.912,구립망우청소년독서실
515,0,5598,292.7415966,0.896,광양중학교 앞
501,0,86214,292.9306726,0.361,광진구의회 앞
